run_id,match_id,table_size,hand_id,dealer,winner,win_amount,pot_size,end_round,showdown,stacks_after
20260409T124455Z,match_001_baseline_vs_weak_ai_vs_main_ai,3,1,baseline,baseline,3000,3000,Showdown,True,"{""baseline"": 2000, ""main_ai"": -1000, ""weak_ai"": -1000}"
20260409T124455Z,match_001_baseline_vs_weak_ai_vs_main_ai,3,2,weak_ai,weak_ai,3000,3000,Showdown,True,"{""baseline"": -1000, ""main_ai"": -1000, ""weak_ai"": 2000}"
20260409T124455Z,match_001_baseline_vs_weak_ai_vs_main_ai,3,3,main_ai,main_ai,2450,2450,Showdown,True,"{""baseline"": -450, ""main_ai"": 1450, ""weak_ai"": -1000}"
20260409T124455Z,match_001_baseline_vs_weak_ai_vs_main_ai,3,4,baseline,baseline,3000,3000,Showdown,True,"{""baseline"": 2000, ""main_ai"": -1000, ""weak_ai"": -1000}"
20260409T124455Z,match_001_baseline_vs_weak_ai_vs_main_ai,3,5,weak_ai,main_ai,3000,3000,Showdown,True,"{""baseline"": -1000, ""main_ai"": 2000, ""weak_ai"": -1000}"
20260409T124455Z,match_001_baseline_vs_weak_ai_vs_main_ai,3,6,main_ai,baseline,3000,3000,Showdown,True,"{""baseline"": 2000, ""main_ai"": -1000, ""weak_ai"": -1000}"
20260409T124455Z,match_001_baseline_vs_weak_ai_vs_main_ai,3,7,baseline,baseline,3000,3000,Showdown,True,"{""baseline"": 2000, ""main_ai"": -1000, ""weak_ai"": -1000}"
20260409T124455Z,match_001_baseline_vs_weak_ai_vs_main_ai,3,8,weak_ai,weak_ai,3000,3000,Showdown,True,"{""baseline"": -1000, ""main_ai"": -1000, ""weak_ai"": 2000}"
20260409T124455Z,match_001_baseline_vs_weak_ai_vs_main_ai,3,9,main_ai,main_ai,3000,3000,Showdown,True,"{""baseline"": -1000, ""main_ai"": 2000, ""weak_ai"": -1000}"
20260409T124455Z,match_001_baseline_vs_weak_ai_vs_main_ai,3,10,baseline,weak_ai,3000,3000,Showdown,True,"{""baseline"": -1000, ""main_ai"": -1000, ""weak_ai"": 2000}"
20260409T124455Z,match_002_baseline_vs_weak_ai_vs_main_ai,3,1,baseline,main_ai,3000,3000,Showdown,True,"{""baseline"": -1000, ""main_ai"": 2000, ""weak_ai"": -1000}"
20260409T124455Z,match_002_baseline_vs_weak_ai_vs_main_ai,3,2,weak_ai,weak_ai,3000,3000,Showdown,True,"{""baseline"": -1000, ""main_ai"": -1000, ""weak_ai"": 2000}"
20260409T124455Z,match_002_baseline_vs_weak_ai_vs_main_ai,3,3,main_ai,main_ai,2450,2450,Showdown,True,"{""baseline"": -450, ""main_ai"": 1450, ""weak_ai"": -1000}"
20260409T124455Z,match_002_baseline_vs_weak_ai_vs_main_ai,3,4,baseline,main_ai,3000,3000,Showdown,True,"{""baseline"": -1000, ""main_ai"": 2000, ""weak_ai"": -1000}"
20260409T124455Z,match_002_baseline_vs_weak_ai_vs_main_ai,3,5,weak_ai,main_ai,2020,2020,Showdown,True,"{""baseline"": -20, ""main_ai"": 1020, ""weak_ai"": -1000}"
20260409T124455Z,match_002_baseline_vs_weak_ai_vs_main_ai,3,6,main_ai,main_ai,3000,3000,Showdown,True,"{""baseline"": -1000, ""main_ai"": 2000, ""weak_ai"": -1000}"
20260409T124455Z,match_002_baseline_vs_weak_ai_vs_main_ai,3,7,baseline,"weak_ai, main_ai",2610,2610,Showdown,True,"{""baseline"": -610, ""main_ai"": 305, ""weak_ai"": 305}"
20260409T124455Z,match_002_baseline_vs_weak_ai_vs_main_ai,3,8,weak_ai,weak_ai,2020,2020,Showdown,True,"{""baseline"": -20, ""main_ai"": -1000, ""weak_ai"": 1020}"
20260409T124455Z,match_002_baseline_vs_weak_ai_vs_main_ai,3,9,main_ai,baseline,3000,3000,Showdown,True,"{""baseline"": 2000, ""main_ai"": -1000, ""weak_ai"": -1000}"
20260409T124455Z,match_002_baseline_vs_weak_ai_vs_main_ai,3,10,baseline,weak_ai,2590,2590,Showdown,True,"{""baseline"": -590, ""main_ai"": -1000, ""weak_ai"": 1590}"
20260409T124455Z,match_003_baseline_vs_weak_ai_vs_main_ai,3,1,baseline,baseline,3000,3000,Showdown,True,"{""baseline"": 2000, ""main_ai"": -1000, ""weak_ai"": -1000}"
20260409T124455Z,match_003_baseline_vs_weak_ai_vs_main_ai,3,2,weak_ai,baseline,3000,3000,Showdown,True,"{""baseline"": 2000, ""main_ai"": -1000, ""weak_ai"": -1000}"
20260409T124455Z,match_003_baseline_vs_weak_ai_vs_main_ai,3,3,main_ai,weak_ai,2450,2450,Showdown,True,"{""baseline"": -450, ""main_ai"": -1000, ""weak_ai"": 1450}"
20260409T124455Z,match_003_baseline_vs_weak_ai_vs_main_ai,3,4,baseline,"weak_ai, main_ai",2610,2610,Showdown,True,"{""baseline"": -610, ""main_ai"": 305, ""weak_ai"": 305}"
20260409T124455Z,match_003_baseline_vs_weak_ai_vs_main_ai,3,5,weak_ai,main_ai,3000,3000,Showdown,True,"{""baseline"": -1000, ""main_ai"": 2000, ""weak_ai"": -1000}"
20260409T124455Z,match_003_baseline_vs_weak_ai_vs_main_ai,3,6,main_ai,baseline,2970,2970,Showdown,True,"{""baseline"": 1980, ""main_ai"": -990, ""weak_ai"": -990}"
20260409T124455Z,match_003_baseline_vs_weak_ai_vs_main_ai,3,7,baseline,main_ai,3000,3000,Showdown,True,"{""baseline"": -1000, ""main_ai"": 2000, ""weak_ai"": -1000}"
20260409T124455Z,match_003_baseline_vs_weak_ai_vs_main_ai,3,8,weak_ai,main_ai,3000,3000,Showdown,True,"{""baseline"": -1000, ""main_ai"": 2000, ""weak_ai"": -1000}"
