run_id,match_id,table_size,hand_id,dealer,winner,win_amount,pot_size,end_round,showdown,stacks_after
20260408T102956Z,match_001_baseline_vs_weak_ai,2,36,weak_ai,weak_ai,420,420,Showdown,True,"{""baseline"": -210, ""weak_ai"": 210}"
20260408T102956Z,match_001_baseline_vs_weak_ai,2,37,baseline,weak_ai,500,500,Showdown,True,"{""baseline"": -250, ""weak_ai"": 250}"
20260408T102956Z,match_001_baseline_vs_weak_ai,2,38,weak_ai,weak_ai,440,440,Showdown,True,"{""baseline"": -220, ""weak_ai"": 220}"
20260408T102956Z,match_001_baseline_vs_weak_ai,2,39,baseline,weak_ai,520,520,Showdown,True,"{""baseline"": -260, ""weak_ai"": 260}"
20260408T102956Z,match_001_baseline_vs_weak_ai,2,40,weak_ai,weak_ai,1965,1965,Flop,False,"{""baseline"": -970, ""weak_ai"": 970}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,1,baseline,weak_ai,1880,1880,Flop,False,"{""baseline"": -920, ""weak_ai"": 920}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,2,weak_ai,baseline,2000,2000,Showdown,True,"{""baseline"": 1000, ""weak_ai"": -1000}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,3,baseline,weak_ai,410,410,River,False,"{""baseline"": -140, ""weak_ai"": 140}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,4,weak_ai,weak_ai,1760,1760,Showdown,True,"{""baseline"": -880, ""weak_ai"": 880}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,5,baseline,"baseline, weak_ai",540,540,Showdown,True,"{""baseline"": 0, ""weak_ai"": 0}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,6,weak_ai,weak_ai,400,400,Showdown,True,"{""baseline"": -200, ""weak_ai"": 200}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,7,baseline,weak_ai,400,400,River,False,"{""baseline"": -140, ""weak_ai"": 140}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,8,weak_ai,weak_ai,360,360,Showdown,True,"{""baseline"": -180, ""weak_ai"": 180}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,9,baseline,baseline,2000,2000,Showdown,True,"{""baseline"": 1000, ""weak_ai"": -1000}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,10,weak_ai,weak_ai,400,400,Showdown,True,"{""baseline"": -200, ""weak_ai"": 200}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,11,baseline,weak_ai,390,390,River,False,"{""baseline"": -140, ""weak_ai"": 140}"
