run_id,match_id,table_size,hand_id,dealer,winner,win_amount,pot_size,end_round,showdown,stacks_after
20260409T024859Z,match_001_baseline_vs_weak_ai,2,1,baseline,weak_ai,542,542,River,False,"{""baseline"": -155, ""weak_ai"": 155}"
20260409T024859Z,match_001_baseline_vs_weak_ai,2,2,weak_ai,baseline,1960,1960,Showdown,True,"{""baseline"": 980, ""weak_ai"": -980}"
20260409T024859Z,match_001_baseline_vs_weak_ai,2,3,baseline,baseline,350,350,Showdown,True,"{""baseline"": 175, ""weak_ai"": -175}"
20260409T024859Z,match_001_baseline_vs_weak_ai,2,4,weak_ai,weak_ai,420,420,Showdown,True,"{""baseline"": -210, ""weak_ai"": 210}"
20260409T024859Z,match_001_baseline_vs_weak_ai,2,5,baseline,weak_ai,1880,1880,Flop,False,"{""baseline"": -920, ""weak_ai"": 920}"
20260409T024859Z,match_001_baseline_vs_weak_ai,2,6,weak_ai,weak_ai,420,420,Showdown,True,"{""baseline"": -210, ""weak_ai"": 210}"
20260409T024859Z,match_001_baseline_vs_weak_ai,2,7,baseline,baseline,2000,2000,Showdown,True,"{""baseline"": 1000, ""weak_ai"": -1000}"
20260409T024859Z,match_001_baseline_vs_weak_ai,2,8,weak_ai,weak_ai,1814,1814,Showdown,True,"{""baseline"": -907, ""weak_ai"": 907}"
20260409T024859Z,match_001_baseline_vs_weak_ai,2,9,baseline,weak_ai,480,480,Showdown,True,"{""baseline"": -240, ""weak_ai"": 240}"
20260409T024859Z,match_001_baseline_vs_weak_ai,2,10,weak_ai,weak_ai,420,420,Showdown,True,"{""baseline"": -210, ""weak_ai"": 210}"
20260409T024859Z,match_002_baseline_vs_weak_ai,2,1,baseline,weak_ai,1880,1880,Flop,False,"{""baseline"": -920, ""weak_ai"": 920}"
20260409T024859Z,match_002_baseline_vs_weak_ai,2,2,weak_ai,baseline,2000,2000,Showdown,True,"{""baseline"": 1000, ""weak_ai"": -1000}"
20260409T024859Z,match_002_baseline_vs_weak_ai,2,3,baseline,weak_ai,410,410,River,False,"{""baseline"": -140, ""weak_ai"": 140}"
20260409T024859Z,match_002_baseline_vs_weak_ai,2,4,weak_ai,weak_ai,1760,1760,Showdown,True,"{""baseline"": -880, ""weak_ai"": 880}"
20260409T024859Z,match_002_baseline_vs_weak_ai,2,5,baseline,"baseline, weak_ai",430,430,Showdown,True,"{""baseline"": 0, ""weak_ai"": 0}"
20260409T024859Z,match_002_baseline_vs_weak_ai,2,6,weak_ai,weak_ai,420,420,Showdown,True,"{""baseline"": -210, ""weak_ai"": 210}"
20260409T024859Z,match_002_baseline_vs_weak_ai,2,7,baseline,weak_ai,410,410,River,False,"{""baseline"": -140, ""weak_ai"": 140}"
20260409T024859Z,match_002_baseline_vs_weak_ai,2,8,weak_ai,weak_ai,360,360,Showdown,True,"{""baseline"": -180, ""weak_ai"": 180}"
